O,  8.4444766796,-0.1443623488,10.0495669891
O,  5.3045877469, 4.6075343033,11.1023145321
O,  0.7986741027, 4.1283491373, 9.5920322687
O, 14.0993078243, 4.8193209626, 6.1787811034
O, 11.4137500259, 4.2496334514,12.8625788080
O,  7.5735963725, 0.4690575137, 6.3748499338
O,  7.1345748762, 5.9443441147, 7.1340647615
O, 13.7622285131,14.7530480718,11.7177637938
O,  3.9795681555, 7.0220442686,10.5469055833
Na,  3.9114590114, 2.2348290445, 6.7861013303
O,  1.5634274390, 4.9212809393, 2.0949342749
O,  0.0774618010, 8.0659532681,-0.6049589286
O,  3.3102509406,11.7636138328, 7.5464424219
O,  3.5550120277, 3.5888009551, 0.6665795933
O,  1.2269597848, 1.1770131330, 3.4295777049
O, 11.4645290569, 5.0538968597, 4.9429964602
Cl,  9.5291710994, 6.3020839197, 8.8269286353
O,  7.5061627321, 7.6583847151, 2.9114258664
O,  2.0876948798,-0.1975087187, 9.9710171868
O,  5.0056080059, 7.5260969298, 4.3286730727
O,  7.4010456366,13.2700050312, 0.6243940134
O,  3.0001930832, 3.3882439170, 4.3053208918
O,  8.1850338811, 2.2740481832, 8.4576414218
O,  7.1983906073, 8.5035666144,12.7580076957
O,  9.8140961262, 8.2703896554,11.2998540462
O,  7.6527739578, 4.7818853342, 2.2493662170
O,  4.4053453894, 7.2054331838, 0.9979815425
O,  5.4569398784, 2.6690569272, 9.0731520796
O, 11.9530733833,12.9754184763, 8.8256767102
O,  4.2135111442, 6.3622466715, 6.5201486574
O,  2.0778034152, 9.5841883285,10.7656057965
O, 13.3506108429, 7.7747710997, 7.0413478338
O, 10.6368423681, 7.2050200710,-6.0440342412
O, -0.4983096474,10.3881133052, 7.4382709788
O,  1.3708088406,-1.0865356614, 5.5966933065
O, 10.3244306973,13.3003694492, 5.6036690812
O, -1.0525144330,10.9304306900, 0.9345911060
O,  9.2826042020, 9.5092209074, 4.8035070679
O, -1.4059703850, 1.4924383184,11.1125206679
O,  8.3229141228,-1.0668829926, 3.1266010430
Na,  5.8433618437,10.7240315610, 6.6251388671
O, 13.7372865620, 6.7868328076, 9.7512284881
O, 11.5909909222, 9.2219356556, 3.3896432623
O,  7.6973701529, 5.5618782702,-0.5965606316
O,  4.8640616186, 9.9829884853,11.7614842504
O,  9.4752848598, 9.9198760313, 8.8603011269
O,  5.4366247874,12.7256296575,10.7277968597
O, 12.6779806550, 2.7549991393, 6.9914576512
O,  8.6937816353,10.6025141082, 0.0851888909
O,  1.4742373068,11.0298351352, 1.8679972855
O, -1.7860089853, 6.9339227604, 2.0870456228
O,  4.8489809913, 5.1329244183, 2.8735796316
O,  6.2606297818, 2.2842201330, 4.8999918572
O,  7.6376880328, 8.6060831291, 6.9947455745
O,  9.4006547929, 2.7615896065, 1.4784942235
O,  5.2121359593,14.2788084421, 2.1765610447
O,  5.8910980566,10.7908033155, 4.0162784483
O,  8.6969167731, 3.9588311992, 5.9657852742
O, 10.8055291375,13.2390860490, 2.8475678992
Cl,  1.9102305323, 7.8207079148, 2.4649050358
O,  9.7614451887, 4.0572592187,10.5552389476
O,  4.2700554298,11.5738084788,14.1935438827
O, 14.8294600261, 8.8150061901, 4.7949830795
O, 16.0898410089, 9.0115887428, 8.0784996588
H,  8.8659751941, 0.6875412924,10.3651800904
H,  8.6411836072,-0.8970601853,10.7633124859
H,  5.6376004190, 4.1469366835,10.2910196797
H,  4.7247781746, 4.0791695960,11.6789223048
H,  1.0878550890, 5.0711423152, 9.6435750220
H,  0.3849060844, 3.8024186742, 8.7991841508
H, 13.4410577435, 5.3031362060, 5.6388419604
H, 14.6002536390, 4.3637645735, 5.4647178751
H, 10.6012575101, 3.6844346479,13.2650702931
H, 10.9382615605, 5.1028363007,12.7291104598
H,  7.6177513963, 0.8390520672, 7.2491495643
H,  7.1684577051,-0.4622060039, 6.4800157943
H,  7.5514926242, 5.2764048428, 6.5516182118
H,  6.1861741364, 5.9096125234, 7.0207654646
H, 13.7236044104,15.5425925647,11.1019420001
H, 12.8224213827,14.4027473195,11.7685537037
H,  4.2976687631, 7.5459609332, 9.8065044401
H,  4.4449977065, 6.1464477460,10.4347651301
H,  1.6509970893, 5.8673216979, 2.3760868654
H,  0.6826026247, 4.8121317329, 1.6327842794
H, -0.8725867638, 8.0469703641,-0.8454130016
H,  0.1328537471, 7.7008727636, 0.2890820756
H,  2.8443981263,11.9715618322, 8.3820624237
H,  2.6089258449,11.5842281070, 6.9064622579
H,  2.9731180976, 3.0269259849, 0.1586626253
H,  2.8368997656, 4.0279074414, 1.2771089788
H,  1.7187620866, 0.7780184752, 2.7174941097
H,  0.2706082885, 1.2402729590, 3.0216818176
H, 11.1359076286, 5.8506484365, 5.4984164740
H, 11.4804657552, 5.2638664876, 3.9672092049
H,  8.1909741485, 8.1959421608, 3.3200199518
H,  7.0893733980, 8.1898813084, 2.1860691837
H,  2.2851899374, 0.5659631774,10.5435236454
H,  2.1000167265,-1.0190299066,10.4911204796
H,  5.8024575478, 8.0256202070, 4.2556952085
H,  4.1748621153, 8.0651985265, 4.4925652392
H,  6.7874135083,13.6445308587, 1.2707164500
H,  6.8111491537,12.9337223491,-0.1493939291
H,  3.3604383177, 4.1002886798, 3.7603211508
H,  2.4850988553, 2.7594144988, 3.7964447859
H,  7.2616136058, 2.5326622135, 8.7026450790
H,  8.4511608891, 2.7767780178, 7.6359915047
H,  6.2637519068, 8.3334821120,12.5538666035
H,  7.7584586542, 7.7624884612,12.3792801598
H,  9.6386918881, 9.1782689480,10.9399261752
H,  9.3023925487, 7.6720504749,10.7628221688
H,  7.6964664999, 5.4904153451, 2.9223777584
H,  7.7048251797, 5.2387005091, 1.3887066928
H,  4.4644931472, 6.2799911475, 1.3040699429
H,  4.2831284328, 7.1827095064,-0.0023435048
H,  5.0021703669, 2.0442662720, 9.6571799163
H,  4.8180806369, 2.6861547677, 8.3387341874
H, 12.7879578031,12.7387336330, 9.2376047669
H, 12.1751000372,13.6175908678, 8.1217239044
H,  4.6326808002, 6.3264766518, 5.6297574831
H,  3.4809146411, 5.7181541269, 6.6214085250
H,  1.2982417090, 9.0556901431,11.1174206822
H,  2.2235631755, 9.1678229074, 9.8770335106
H, 13.5363922513, 7.2277627394, 7.8437123845
H, 13.1084583002, 8.6422169696, 7.4939126095
H, 11.5911768802, 7.4473985204,-6.0194136461
H, 10.4285269690, 7.0161093793,-5.0609534060
H, -1.4517266752, 9.9904096100, 7.3998068885
H, -0.6022853167,11.0955642561, 8.1769453096
H,  0.4543863632,-1.4404417329, 5.8634522759
H,  1.2533792494,-0.7983084641, 4.6369152841
H, 10.7998232552,12.9085987152, 6.3432170350
H,  9.3774933024,13.2114698521, 5.8038327325
H, -1.2628424743,11.8320738278, 1.3413263529
H, -1.8792149978,10.4559589318, 0.6854538525
